method,dataset,Dirichlet,rounds,accuracy,f1,precision,recall,communication,train_time
fedavg,CIFAR10,0.1,100,73.74,73.73,73.75,73.74,377184240.0,29.51
fedavg,CIFAR10,,100,68.75,68.89,69.24,68.75,377184240.0,30.02
fedavg,CIFAR10,1.0,100,71.0,70.91,71.08,71.0,377184240.0,30.31
fedacg,CIFAR10,,100,70.09,70.2,70.45,70.09,471268456.0,30.2
fedacg,CIFAR10,1.0,100,71.69,71.66,71.72,71.69,471268456.0,29.79
fedacg,CIFAR10,0.1,100,73.57,73.5,73.5,73.57,471268456.0,29.27
las,CIFAR10,,100,73.84,73.7,73.98,73.84,75435408.0,30.2
las,CIFAR10,1.0,100,72.0,72.12,72.39,72.0,75435408.0,30.01
las,CIFAR10,0.1,100,73.4,73.35,73.58,73.4,75435408.0,29.77
fedprox,CIFAR10,0.1,100,72.95,72.93,72.96,72.95,377184240.0,77.7
fedprox,CIFAR10,1.0,100,71.5,71.53,71.69,71.5,377184240.0,78.76
fedprox,CIFAR10,,100,69.68,69.53,69.62,69.68,377184240.0,79.97
fedavg,TinyImageNet,,50,70.04,69.9,70.26,70.04,383413200.0,168.02
fedavg,TinyImageNet,1.0,50,69.67,69.61,70.09,69.67,383413200.0,155.78
fedavg,TinyImageNet,0.1,50,71.33,71.21,71.65,71.33,383413200.0,154.14
fedacg,TinyImageNet,,50,70.37,70.21,70.63,70.37,479054656.0,168.28
fedacg,TinyImageNet,1.0,50,69.19,69.1,69.49,69.19,479054656.0,155.04
fedacg,TinyImageNet,0.1,50,71.27,71.16,71.5,71.27,479054656.0,154.1
las,TinyImageNet,,50,65.41,65.37,66.83,65.41,76681200.0,169.0
las,TinyImageNet,1.0,50,63.54,63.5,65.7,63.54,76681200.0,155.48
las,TinyImageNet,0.1,50,66.54,66.45,67.35,66.54,76681200.0,154.5
fedprox,TinyImageNet,,50,70.7,70.59,71.07,70.7,383413200.0,201.66
fedprox,TinyImageNet,1.0,50,69.64,69.54,70.0,69.64,383413200.0,188.56
fedprox,TinyImageNet,0.1,50,71.46,71.34,71.78,71.46,383413200.0,183.16
